"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Kodish, S.R.; Matean, M.; Grey, K.; Palaniappan, U.; Northrup-Lyons, M.; Yalvigi, A.; Gwavuya, S.; McLean, J.; Erasmus, W.","Kodish, Stephen R. (14830447000); Matean, Maryam (57209569828); Grey, Kelsey (57209585400); Palaniappan, Uma (17339140100); Northrup-Lyons, Martina (57197817329); Yalvigi, Akshata (57200689186); Gwavuya, Stanley (56518171500); McLean, Judy M. (54406998300); Erasmus, Wendy (56606173400)","14830447000; 57209569828; 57209585400; 17339140100; 57197817329; 57200689186; 56518171500; 54406998300; 56606173400","Conceptualizing multi-level determinants of infant and young child nutrition in the Republic of Marshall Islands-a socioecological perspective","2022","PLOS Global Public Health","2","12","e0001343","","","3","10.1371/journal.pgph.0001343","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183324404&doi=10.1371%2Fjournal.pgph.0001343&partnerID=40&md5=225b3910d0857872cd0618f19a69c6f4","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85183324404"
"Hedlund, J.; Carlsen, H.; Croft, S.; West, C.; Bodin, I.; Stokeld, E.; Jaegermeyr, J.; Müller, C.","Hedlund, Johanna S.U. (56478528000); Carlsen, Henrik (36545789900); Croft, Simon A. (57206369427); West, Chris D. (56763374400); Bodin, Örjan (13103663000); Stokeld, Emilie (57218997690); Jaegermeyr, Jonas (35179843900); Müller, Christoph (56550089500)","56478528000; 36545789900; 57206369427; 56763374400; 13103663000; 57218997690; 35179843900; 56550089500","Impacts of climate change on global food trade networks","2022","Environmental Research Letters","17","12","124040","","","31","10.1088/1748-9326/aca68b","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144579312&doi=10.1088%2F1748-9326%2Faca68b&partnerID=40&md5=a2478e5616850913d51b0a5026105658","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85144579312"
"Abdul Mottaleb, K.A.; Kruseman, G.; Snapp, S.","Abdul Mottaleb, Khondoker Abdul (53664229100); Kruseman, Gideon (57200546771); Snapp, Sieglinde S. (7003330545)","53664229100; 57200546771; 7003330545","Potential impacts of Ukraine-Russia armed conflict on global wheat food security: A quantitative exploration","2022","Global Food Security","35","","100659","","","150","10.1016/j.gfs.2022.100659","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140953496&doi=10.1016%2Fj.gfs.2022.100659&partnerID=40&md5=d0384d9020ba413dd1ba6ca306decbc5","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85140953496"
"AlFraj, N.; Hamo, A.","AlFraj, Naji Khames (57896200000); Hamo, Alaa (57914246200)","57896200000; 57914246200","Evaluation of technical efficiency of some rain-fed cereal and legume crops production in Syria: does crisis matter?","2022","Agriculture and Food Security","11","1","49","","","5","10.1186/s40066-022-00389-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139259596&doi=10.1186%2Fs40066-022-00389-y&partnerID=40&md5=90e0d5901c312dc5d39765003358b988","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85139259596"
"Oluoch, K.O.; De Groote, H.; Gitonga, Z.M.; Jin, Z.; Davis, K.F.","Oluoch, Kevin Ong’are (57912733300); De Groote, Hugo D. (57197763228); Gitonga, Zachary Maina (36611627900); Jin, Zhenong (55621949100); Davis, Kyle Frankel (55066814000)","57912733300; 57197763228; 36611627900; 55621949100; 55066814000","A suite of agronomic factors can offset the effects of climate variability on rainfed maize production in Kenya","2022","Scientific Reports","12","1","16043","","","4","10.1038/s41598-022-19286-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139122876&doi=10.1038%2Fs41598-022-19286-2&partnerID=40&md5=1e51dea4c606d0d8fccc2dff52c52854","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85139122876"
"Richardson, M.; Nalley, L.L.; Durand-Morat, A.; Crandall, P.; Scruggs, A.; Joseph, L.; Chouloute, J.; Yang, W.","Richardson, Matthew G. (57355627300); Nalley, Lanier Lanier (55837353600); Durand-Morat, Alvaro (57015306400); Crandall, Phil (59843857300); Scruggs, Andrew (59807266500); Joseph, Lesly (57720469000); Chouloute, Jérôme (57720175700); Yang, Wei (59612482300)","57355627300; 55837353600; 57015306400; 59843857300; 59807266500; 57720469000; 57720175700; 59612482300","A broken market: can increased access to broken rice decrease food insecurity in Haiti?","2022","Food Security","14","6","","1387","1400","3","10.1007/s12571-022-01286-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131095954&doi=10.1007%2Fs12571-022-01286-9&partnerID=40&md5=27f28a1fba2d503de105f4ae35c601ef","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85131095954"
"Yawson, D.O.","Yawson, David Oscar (36459429000)","36459429000","Balancing water scarcity, food production, and trade imperatives in the Caribbean: Could virtual water analysis help?","2022","Journal of Cleaner Production","376","","134285","","","7","10.1016/j.jclepro.2022.134285","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138762026&doi=10.1016%2Fj.jclepro.2022.134285&partnerID=40&md5=860c45ca4dd8707cb998bf3e70bf2214","Article","Final","","Scopus","2-s2.0-85138762026"
"Berhe, M.; Subramanyam, B.; Chichaybelu, M.; Demissie, G.; Abay, F.; Harvey, J.","Berhe, Muez (57207877006); Subramanyam, Bhadriraju H. (7004276540); Chichaybelu, Mekasha (6504463656); Demissie, Girma (23977495500); Abay, Fetien (24480722600); Harvey, Jagger J.W. (25922174700)","57207877006; 7004276540; 6504463656; 23977495500; 24480722600; 25922174700","Post-Harvest Insect Pests and Their Management Practices for Major Food and Export Crops in East Africa: An Ethiopian Case Study","2022","Insects","13","11","1068","","","42","10.3390/insects13111068","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149575050&doi=10.3390%2Finsects13111068&partnerID=40&md5=3d1082f7056910ecf4fa357d5f7a1479","Review","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85149575050"
"Hekmatnia, M.; Safdari, M.; Ahmadi, A.; Monibi, H.","Hekmatnia, Mehran (57722784300); Safdari, Mehdi (46662023900); Ahmadi, Asaad (57225299794); Monibi, Hamidreza (57723097300)","57722784300; 46662023900; 57225299794; 57723097300","National savings in freshwater consumption in Iran by virtual water imports (a case study on cereals)","2022","Water and Environment Journal","36","4","","656","666","8","10.1111/wej.12805","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131156657&doi=10.1111%2Fwej.12805&partnerID=40&md5=9a5396212b1916f9f7d316458360ba79","Article","Final","","Scopus","2-s2.0-85131156657"
"Mahmud, S.; Haider, A.S.M.R.; Shahriar, S.T.; Salehin, S.; Hasan, A.S.M.M.; Johansson, M.T.","Mahmud, Shadman Shahriar (57226167666); Haider, A. S.M.Redwan (59158495300); Shahriar, Sk Tahmid (57412400600); Salehin, Sayedus (57023792800); Hasan, A. S.M.Monjurul (57200903522); Johansson, Maria T. (36646031300)","57226167666; 59158495300; 57412400600; 57023792800; 57200903522; 36646031300","Bioethanol and biodiesel blended fuels — Feasibility analysis of biofuel feedstocks in Bangladesh","2022","Energy Reports","8","","","1741","1756","64","10.1016/j.egyr.2022.01.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122794981&doi=10.1016%2Fj.egyr.2022.01.001&partnerID=40&md5=43a726dd8d5fdf8e1d33731c4ef41432","Review","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85122794981"
